label,pattern
PERSON,Clara-Leontine de Ronquerolles
PERSON,Mlle. Clara-Léontine de Serizy
PERSON,Monsieur General de Montriveau
PERSON,Mademoiselle Josephine Schiltz
PERSON,Mademoiselle La petite Aurelie
PERSON,Mme Jeanne-Clémentine-Athénaïs
PERSON,Mlle Jeanne de Blamont-Chauvry
PERSON,Mme. Jeanne de Blamont-Chauvry
PERSON,Mme Jeanne Clementine Athenais
PERSON,Mademoiselle Angelique Bontems
PERSON,Marquise Charles de Vandenesse
PERSON,Mlle Marie-Louise du Châtelet
PERSON,Mme. Marie-Louise du Châtelet
PERSON,Mlle Marie-Louise de Chatelet
PERSON,Mme. Marie-Louise de Chatelet
PERSON,Mlle Marie-Louise de Bargeton
PERSON,Mme. Marie-Louise de Bargeton
PERSON,Madame Louise de Negrepelesse
PERSON,Madame Louise de Nègrepelisse
PERSON,Mlle Leontine de Ronquerolles
PERSON,Mme. Leontine de Ronquerolles
PERSON,Mlle Léontine de Ronquerolles
PERSON,Mme. Léontine de Ronquerolles
PERSON,Mlle Clara-Léontine de Serizy
PERSON,Mme. Clara-Léontine de Serizy
PERSON,Mademoiselle Monsieur de Lora
PERSON,Mademoiselle Sophie Grignault
PERSON,Mme Jeanne de Blamont-Chauvry
PERSON,Mademoiselle Virginie Blondet
PERSON,Madame Virginie de Troisville
PERSON,Madame Virginie de Montcornet
PERSON,Marie-Angelique de Vandenesse
PERSON,Marquis Charles de Vandenesse
PERSON,Vicomtesse Juste de Grandlieu
PERSON,Baronne Delphine de Nucingen
PERSON,Mme Marie-Louise du Châtelet
PERSON,Mme Marie-Louise de Chatelet
PERSON,Mme Marie-Louise de Bargeton
PERSON,Mlle. Louise de Negrepelesse
PERSON,Mlle. Louise de Nègrepelisse
PERSON,Clement Chardin des Lupeaulx
PERSON,Clément Chardin des Lupeaulx
PERSON,Mme Leontine de Ronquerolles
PERSON,Mme Léontine de Ronquerolles
PERSON,Mme Clara-Léontine de Serizy
